" Date","W1 Open","W1 Low","W1 High","W1 Close","W1 SMA (50D)","W1 SMA (200D)"
09-19-1983,"367.50 ","365.50 ","369.75 ","369.75 ","374.42 ","349.70 "
09-20-1983,"370.00 ","365.00 ","370.00 ","367.00 ","375.06 ","349.97 "
09-21-1983,"379.50 ","375.00 ","379.50 ","375.25 ","375.81 ","350.29 "
09-22-1983,"385.00 ","381.00 ","387.00 ","381.50 ","376.64 ","350.64 "
09-23-1983,"381.00 ","371.00 ","381.50 ","373.75 ","377.23 ","350.93 "
09-26-1983,"371.50 ","368.75 ","375.00 ","374.25 ","377.76 ","351.21 "
09-27-1983,"375.25 ","373.00 ","377.50 ","376.00 ","378.37 ","351.40 "
09-28-1983,"377.00 ","371.00 ","378.25 ","371.25 ","378.63 ","351.59 "
09-29-1983,"369.50 ","365.50 ","370.50 ","370.00 ","378.73 ","351.76 "
09-30-1983,"371.75 ","366.00 ","372.00 ","370.75 ","378.82 ","352.00 "
10-03-1983,"368.25 ","366.25 ","370.00 ","370.00 ","378.98 ","352.16 "
10-04-1983,"370.25 ","366.25 ","370.75 ","366.50 ","379.01 ","352.32 "
10-05-1983,"366.25 ","365.50 ","369.00 ","368.50 ","379.12 ","352.50 "
10-06-1983,"369.25 ","368.75 ","374.00 ","371.75 ","379.13 ","352.70 "
10-07-1983,"370.88 ","369.00 ","373.50 ","369.50 ","379.06 ","352.94 "
10-10-1983,"369.00 ","363.00 ","369.50 ","366.00 ","378.79 ","353.15 "
10-11-1983,"366.38 ","365.75 ","367.75 ","366.50 ","378.60 ","353.35 "
10-12-1983,"366.25 ","365.00 ","367.00 ","366.00 ","378.31 ","353.54 "
10-13-1983,"369.25 ","368.25 ","372.50 ","369.25 ","378.14 ","353.73 "
10-14-1983,"369.75 ","368.50 ","371.75 ","370.75 ","377.99 ","353.93 "
10-17-1983,"369.50 ","367.50 ","370.75 ","369.50 ","377.85 ","354.10 "
10-18-1983,"368.75 ","368.00 ","373.00 ","372.50 ","377.79 ","354.29 "
10-19-1983,"371.50 ","368.50 ","372.00 ","369.00 ","377.47 ","354.43 "
10-20-1983,"368.25 ","360.00 ","368.50 ","360.75 ","377.03 ","354.50 "
10-21-1983,"362.50 ","360.75 ","364.00 ","363.75 ","376.68 ","354.59 "
10-24-1983,"363.50 ","361.50 ","364.00 ","362.50 ","376.01 ","354.69 "
10-25-1983,"365.75 ","365.00 ","367.00 ","365.25 ","375.55 ","354.79 "
10-26-1983,"364.75 ","353.00 ","365.25 ","356.75 ","374.88 ","354.90 "
10-27-1983,"355.50 ","352.50 ","358.75 ","357.50 ","374.34 ","355.02 "
10-28-1983,"357.75 ","357.25 ","359.00 ","358.75 ","373.87 ","355.15 "
10-31-1983,"358.00 ","354.50 ","359.50 ","354.50 ","372.90 ","355.25 "
11-01-1983,"355.25 ","351.00 ","356.75 ","356.25 ","372.24 ","355.37 "
11-02-1983,"356.25 ","356.00 ","360.00 ","358.50 ","371.65 ","355.49 "
11-03-1983,"356.25 ","353.50 ","357.75 ","357.50 ","371.05 ","355.61 "
11-04-1983,"357.38 ","356.50 ","359.25 ","358.50 ","370.48 ","355.72 "
11-07-1983,"357.75 ","357.50 ","360.75 ","360.25 ","369.92 ","355.81 "
11-08-1983,"359.63 ","357.50 ","360.00 ","358.75 ","369.53 ","355.87 "
11-09-1983,"358.75 ","357.75 ","360.25 ","358.00 ","368.92 ","355.94 "
11-10-1983,"356.75 ","354.50 ","357.25 ","356.25 ","368.36 ","355.99 "
11-11-1983,"355.75 ","348.50 ","356.00 ","349.25 ","367.63 ","356.01 "
11-14-1983,"348.50 ","343.00 ","348.50 ","345.75 ","366.90 ","356.03 "
11-15-1983,"346.38 ","344.50 ","348.00 ","346.75 ","366.11 ","356.07 "
11-16-1983,"345.88 ","334.00 ","346.00 ","340.25 ","365.27 ","356.07 "
11-17-1983,"340.38 ","335.75 ","341.75 ","339.50 ","364.36 ","356.05 "
11-18-1983,"338.75 ","336.50 ","339.50 ","336.50 ","363.35 ","356.02 "
11-21-1983,"335.50 ","331.50 ","335.50 ","333.00 ","362.40 ","355.93 "
11-22-1983,"335.50 ","329.25 ","336.25 ","332.25 ","361.66 ","355.86 "
11-23-1983,"332.38 ","330.25 ","339.25 ","339.00 ","361.13 ","355.83 "
11-24-1983,"352.00 ","352.00 ","352.00 ","352.00 ","360.94 ","355.87 "
11-25-1983,"341.75 ","341.00 ","343.50 ","341.75 ","360.50 ","355.86 "
11-28-1983,"343.13 ","337.00 ","344.00 ","338.50 ","359.88 ","355.86 "
11-29-1983,"338.00 ","336.00 ","339.75 ","338.75 ","359.31 ","355.89 "
11-30-1983,"341.75 ","341.00 ","343.75 ","343.25 ","358.67 ","355.95 "
12-01-1983,"344.25 ","344.00 ","348.00 ","347.75 ","358.00 ","356.05 "
12-02-1983,"346.50 ","344.50 ","347.00 ","346.00 ","357.44 ","356.17 "
12-05-1983,"340.50 ","340.00 ","342.50 ","342.00 ","356.80 ","356.35 "
12-06-1983,"342.00 ","339.00 ","342.75 ","339.25 ","356.06 ","356.49 "
12-07-1983,"339.75 ","338.25 ","340.50 ","339.00 ","355.42 ","356.62 "
12-08-1983,"339.75 ","339.75 ","344.50 ","342.00 ","354.86 ","356.76 "
12-09-1983,"342.00 ","337.00 ","342.00 ","340.50 ","354.25 ","356.87 "
12-12-1983,"341.50 ","339.50 ","341.50 ","339.75 ","353.64 ","357.00 "
12-13-1983,"339.25 ","336.00 ","339.50 ","337.00 ","353.06 ","357.12 "
12-14-1983,"337.00 ","337.00 ","340.75 ","340.75 ","352.50 ","357.24 "
12-15-1983,"341.75 ","340.50 ","343.50 ","341.75 ","351.90 ","357.36 "
12-16-1983,"343.00 ","343.00 ","346.50 ","346.50 ","351.44 ","357.51 "
12-19-1983,"347.50 ","347.50 ","353.75 ","352.00 ","351.16 ","357.68 "
12-20-1983,"354.00 ","346.50 ","354.00 ","346.75 ","350.76 ","357.81 "
12-21-1983,"360.25 ","358.75 ","361.75 ","359.50 ","350.63 ","357.98 "
12-22-1983,"359.75 ","358.00 ","360.25 ","358.50 ","350.42 ","358.10 "
12-23-1983,"360.75 ","359.50 ","361.50 ","361.25 ","350.23 ","358.21 "
12-26-1983,"369.00 ","369.00 ","369.00 ","369.00 ","350.22 ","358.32 "
12-27-1983,"362.50 ","361.75 ","366.00 ","364.75 ","350.06 ","358.17 "
12-28-1983,"365.50 ","363.75 ","367.50 ","367.00 ","350.02 ","358.17 "
12-29-1983,"366.63 ","363.00 ","367.50 ","363.50 ","350.08 ","358.15 "
12-30-1983,"363.25 ","362.25 ","364.00 ","363.50 ","350.07 ","358.17 "
01-02-1984,"370.50 ","370.50 ","370.50 ","370.50 ","350.24 ","358.23 "
01-03-1984,"360.50 ","353.50 ","361.00 ","354.00 ","350.01 ","358.20 "
01-04-1984,"352.25 ","351.50 ","355.75 ","355.25 ","349.98 ","358.19 "
01-05-1984,"355.75 ","354.25 ","359.50 ","358.75 ","350.00 ","358.19 "
01-06-1984,"358.88 ","356.50 ","359.50 ","358.75 ","350.00 ","358.19 "
01-09-1984,"356.50 ","356.00 ","360.00 ","358.75 ","350.09 ","358.17 "
01-10-1984,"361.25 ","360.25 ","362.25 ","361.25 ","350.19 ","358.17 "
01-11-1984,"361.25 ","359.25 ","362.00 ","360.50 ","350.23 ","358.17 "
01-12-1984,"361.50 ","360.75 ","362.75 ","361.75 ","350.31 ","358.16 "
01-13-1984,"362.25 ","361.00 ","362.50 ","361.50 ","350.38 ","358.15 "
01-16-1984,"355.00 ","353.00 ","357.25 ","357.00 ","350.31 ","358.17 "
01-17-1984,"356.25 ","353.50 ","356.75 ","355.00 ","350.24 ","358.19 "
01-18-1984,"355.25 ","347.75 ","355.50 ","348.50 ","350.05 ","358.18 "
01-19-1984,"348.25 ","341.50 ","350.25 ","343.50 ","349.79 ","358.15 "
01-20-1984,"342.75 ","338.25 ","343.00 ","338.50 ","349.57 ","358.10 "
01-23-1984,"337.50 ","337.00 ","345.00 ","344.50 ","349.55 ","358.09 "
01-24-1984,"349.38 ","344.75 ","350.00 ","345.75 ","349.53 ","358.12 "
01-25-1984,"343.75 ","337.00 ","344.50 ","338.75 ","349.50 ","358.11 "
01-26-1984,"336.00 ","328.25 ","337.00 ","331.25 ","349.33 ","358.05 "
01-27-1984,"333.75 ","326.75 ","334.50 ","327.00 ","349.14 ","357.94 "
01-30-1984,"329.00 ","324.50 ","332.00 ","331.25 ","349.11 ","357.86 "
01-31-1984,"330.75 ","328.50 ","331.75 ","328.75 ","349.04 ","357.75 "
02-01-1984,"328.88 ","328.50 ","335.00 ","334.50 ","348.95 ","357.67 "
02-02-1984,"335.75 ","332.00 ","336.50 ","333.00 ","348.57 ","357.59 "
02-03-1984,"331.00 ","330.50 ","334.25 ","333.50 ","348.40 ","357.50 "
02-06-1984,"331.00 ","329.00 ","333.50 ","331.50 ","348.26 ","357.39 "
02-07-1984,"331.00 ","331.00 ","334.75 ","333.00 ","348.15 ","357.28 "
02-08-1984,"333.75 ","333.00 ","337.25 ","335.75 ","348.00 ","357.16 "
02-09-1984,"335.25 ","328.25 ","335.50 ","331.00 ","347.67 ","357.05 "
02-10-1984,"329.75 ","325.25 ","330.00 ","325.75 ","347.26 ","356.90 "
02-13-1984,"323.50 ","321.50 ","325.00 ","321.75 ","346.86 ","356.74 "
02-14-1984,"322.63 ","319.50 ","324.75 ","324.25 ","346.56 ","356.60 "
02-15-1984,"325.63 ","325.50 ","328.75 ","328.25 ","346.34 ","356.52 "
02-16-1984,"328.25 ","328.00 ","332.00 ","331.75 ","346.13 ","356.46 "
02-17-1984,"331.25 ","330.50 ","336.75 ","333.25 ","345.99 ","356.39 "
02-20-1984,"344.50 ","344.50 ","344.50 ","344.50 ","346.08 ","356.39 "
02-21-1984,"331.00 ","327.50 ","332.00 ","329.00 ","345.93 ","356.30 "
02-22-1984,"331.00 ","330.00 ","334.00 ","331.50 ","345.74 ","356.22 "
02-23-1984,"330.13 ","326.00 ","330.25 ","328.50 ","345.48 ","356.13 "
02-24-1984,"329.75 ","329.00 ","331.00 ","329.75 ","345.14 ","356.00 "
02-27-1984,"328.00 ","327.00 ","328.75 ","328.75 ","344.68 ","355.87 "
02-28-1984,"328.25 ","324.50 ","328.50 ","324.75 ","344.24 ","355.71 "
02-29-1984,"324.00 ","322.00 ","327.50 ","326.25 ","343.57 ","355.56 "
03-01-1984,"325.75 ","325.50 ","334.00 ","334.00 ","343.08 ","355.48 "
03-02-1984,"336.25 ","335.50 ","341.00 ","340.75 ","342.67 ","355.45 "
03-05-1984,"345.25 ","337.25 ","345.50 ","344.75 ","342.19 ","355.45 "
03-06-1984,"345.00 ","344.50 ","351.00 ","350.50 ","341.90 ","355.49 "
03-07-1984,"347.50 ","344.50 ","351.75 ","351.50 ","341.59 ","355.53 "
03-08-1984,"350.00 ","347.00 ","351.75 ","351.50 ","341.35 ","355.55 "
03-09-1984,"351.50 ","351.50 ","355.00 ","354.25 ","341.17 ","355.59 "
03-12-1984,"353.75 ","350.00 ","355.00 ","350.25 ","340.76 ","355.60 "
03-13-1984,"352.00 ","349.00 ","352.00 ","349.25 ","340.67 ","355.61 "
03-14-1984,"349.38 ","348.00 ","353.00 ","353.00 ","340.62 ","355.65 "
03-15-1984,"353.00 ","353.00 ","360.00 ","359.50 ","340.63 ","355.73 "
03-16-1984,"360.00 ","356.75 ","360.00 ","357.50 ","340.61 ","355.80 "
03-19-1984,"356.00 ","354.25 ","356.00 ","355.75 ","340.55 ","355.86 "
03-20-1984,"355.00 ","351.00 ","356.00 ","353.75 ","340.40 ","355.90 "
03-21-1984,"353.50 ","353.25 ","360.00 ","357.50 ","340.34 ","355.96 "
03-22-1984,"351.25 ","351.00 ","362.75 ","361.25 ","340.33 ","356.01 "
03-23-1984,"362.50 ","358.50 ","362.50 ","361.00 ","340.32 ","356.07 "
03-26-1984,"363.25 ","362.50 ","367.00 ","366.00 ","340.50 ","356.15 "
03-27-1984,"366.25 ","360.00 ","366.50 ","360.50 ","340.61 ","356.18 "
03-28-1984,"359.25 ","356.75 ","361.00 ","359.00 ","340.82 ","356.20 "
03-29-1984,"360.00 ","358.50 ","364.00 ","362.75 ","341.20 ","356.26 "
03-30-1984,"363.00 ","362.00 ","375.00 ","374.00 ","341.92 ","356.40 "
04-02-1984,"371.25 ","370.00 ","376.00 ","370.25 ","342.43 ","356.53 "
04-03-1984,"371.00 ","369.25 ","375.00 ","374.75 ","343.01 ","356.68 "
04-04-1984,"376.75 ","376.50 ","380.00 ","377.25 ","343.78 ","356.85 "
04-05-1984,"372.50 ","367.00 ","374.00 ","368.50 ","344.52 ","356.98 "
04-06-1984,"368.25 ","363.00 ","368.50 ","366.50 ","345.31 ","357.11 "
04-09-1984,"369.75 ","368.00 ","371.50 ","370.00 ","346.09 ","357.29 "
04-10-1984,"368.50 ","364.50 ","368.75 ","367.25 ","346.86 ","357.45 "
04-11-1984,"366.75 ","363.50 ","368.75 ","364.00 ","347.45 ","357.57 "
04-12-1984,"362.00 ","361.50 ","370.00 ","368.75 ","348.17 ","357.72 "
